Kanji,Kana,English,Topic
当たり前,あたりまえ,Natural. Reasonable. Commonplace,ドラえもん第1巻
空き巣,あきす,Empty house. Empty nest. ,ドラえもん第1巻
怪人,かいじん,Mysterious person,ドラえもん第1巻
石川五右衛門,いしかわごえもん,Ishikawa Goemon. Legendary Japanese criminal hero. Like Robin Hood,ドラえもん第1巻
面相,めんそう,Features. Looks. Appearance,ドラえもん第1巻
光化学スモッグ,こうかがくすもっぐ,Photochemical smog,ドラえもん第1巻
お辞儀,おじぎ,To bow. Bowing,ドラえもん第1巻
家宝,かほう,Heirloom,ドラえもん第1巻
それ以来,それいらい,Ever since that time. Since then,ドラえもん第1巻
家老,かろう,Chief retainer. Daimyo’s minister,ドラえもん第1巻
偉い,えらい,Great. Excellent,ドラえもん第1巻
威張る,いばる,To put on airs. To act big,ドラえもん第1巻
狩人,かりうど,Hunter,ドラえもん第1巻
細々,ほそぼそ,Hard living. Poor living. Barely scraping by,ドラえもん第1巻
パッとしない,ぱっとしない,Unimpressive. Lackluster. Plain,ドラえもん第1巻
手柄,てがら,Achievement. Feat. Meritorious deed,ドラえもん第1巻
豊臣秀吉,とよとみひでよし,Toyotomi Hideyoshi. Daimyō and politician. The second great unifier of Japan,ドラえもん第1巻
農家,のうか,Farming family. Farm house,ドラえもん第1巻
出世,しゅっせ,Getting ahead in life,ドラえもん第1巻
山奥,やまおく,Deep in the mountains,ドラえもん第1巻
イノシシ,いのしし,Wild boar,ドラえもん第1巻
猟師,りょうし,Hunter. Huntsman,ドラえもん第1巻
ソックリ,そっくり,Altogether. Entirely. Completely,ドラえもん第1巻
無礼者,ぶれいもの,Insolent fellow. Rude fellow,ドラえもん第1巻
出陣,しゅつじん,Going into battle. Preparing for war,ドラえもん第1巻
いよいよ,いよいよ,More and more. At last. Finally,ドラえもん第1巻
ござる,ござる,To be (archaic form),ドラえもん第1巻
拙者,せっしゃ,I. Me. ,ドラえもん第1巻
頼もしい,たのもしい,Reliable. Trustworthy. Promising,ドラえもん第1巻
てんで,てんで,Completely. Utterly. (Not) at all,ドラえもん第1巻
だらしない,だらしない,Sloppy. Slovenly. Feeble. Weak-willed   ,ドラえもん第1巻
鎧,よろい,Put on armor. Armor oneself,ドラえもん第1巻
透明,とうめい,Invisible. Clear,ドラえもん第1巻
適当,てきとう,Suitable. Proper. Appropriate. Adequate  ,ドラえもん第1巻
おしまい,おしまい,The end. Closing. Being done for. That’s enough. That’s all ,ドラえもん第1巻
曲者,くせもの,Ruffian. Villain,ドラえもん第1巻
あっぱれ,あっぱれ,Splendid. Admirable. Well done!  ,ドラえもん第1巻
望み通り,のぞみどおり,Just as one wishes,ドラえもん第1巻
さからう,さからう,Insubordinate. Stubborn. Wrong,ドラえもん第1巻
たまる,たまる,To bear. To endure,ドラえもん第1巻
活躍,かつやく,To flourish. To play an active role. To actively participate. Do a great service ,ドラえもん第1巻
ひょっとして,ひょっとして,By any chance. Should it happen that,ドラえもん第1巻
毟る,むしる,To pluck. To pick. To tear,ドラえもん第1巻
日射病,にっしゃびょう,Heatstroke. Sunstroke,ドラえもん第1巻
扇げ,あおげ,To fan. To invite. To instigate,ドラえもん第1巻
遠慮,えんりよ,Reserve. Restraint. Modesty,ドラえもん第1巻
手遅れ,ておくれ,Being too late. Losing ones final chance,ドラえもん第1巻
しまいに,しまいに,At the end. Finally,ドラえもん第1巻
くっつく,くっつく,To adhere to. To get closer to,ドラえもん第1巻
泥水,どろみず,Muddy water. Red light district,ドラえもん第1巻
逃す,にがす,To release. To set free. To miss. To fail to catch ,ドラえもん第1巻
うらむ,うらむ,To regret,ドラえもん第1巻
とうとう,とうとう,Finally. At last. Ultimately. In the end,ドラえもん第1巻
お世辞,おせじ,Flattery. Compliment,ドラえもん第1巻
口紅,くちべに,Lipstick,ドラえもん第1巻
派手,はで,Showy. Loud. Flashy. Gaudy,ドラえもん第1巻
ひっぱたく,ひっぱたく,To strike. To slap. To spank,ドラえもん第1巻
まま,まま,As it is. As one likes. Sic. Condition. State ,ドラえもん第1巻
腹が立つ,はらがたつ,To get angry. To take offense,ドラえもん第1巻
のろま,のろま,Blockhead. Dunce,ドラえもん第1巻
とんま,とんま,Idiot. Fool. Dope,ドラえもん第1巻
喧嘩,けんか,Quarrel. Fight. Brawl,ドラえもん第1巻
ころころ,ころころ,Lightly rolling. Pleasantly high pitched sound. Roly poly ,ドラえもん第1巻
おだてる,おだてる,To flatter. To sweet talk,ドラえもん第1巻
女優,じょゆう,Actress,ドラえもん第1巻
お小遣い,おこづかい,Spending money. Allowance,ドラえもん第1巻
気難し屋,きむずかしや,Person who is hard to please. Difficult person,ドラえもん第1巻
噛み付く,かみつく,To bite at. To snap at someone,ドラえもん第1巻
見習う,みならう,To follow another’s example,ドラえもん第1巻
悔しい,くやしい,Vexing. Annoying. Regrettable,ドラえもん第1巻
